,Date,Open_P,High_P,Low_P,Close_P,Adj_Close,Volume,pct
2318,2011-01-05,1551.59,1571.85,1542.95,1566.17,1566.17,316364200.0,-0.0014027302230977812
2319,2011-01-04,1534.57,1551.89,1534.4,1551.89,1551.89,204667400.0,-0.009117784148591768
2320,2011-01-03,1524.53,1535.02,1523.72,1533.42,1533.42,142815000.0,-0.011901616738299814
2321,2010-12-31,,,,,,,0.0
2322,2010-12-30,1527.09,1529.95,1518.76,1518.91,1518.91,139358600.0,-0.009462508640815992
2323,2010-12-29,1520.45,1526.93,1520.19,1524.34,1524.34,105766600.0,0.003574932023622024
2324,2010-12-28,1510.98,1525.99,1509.55,1517.44,1517.44,91008400.0,-0.004526549195061347
2325,2010-12-27,1511.9,1513.23,1509.64,1511.72,1511.72,45943800.0,-0.003769506537325995
2326,2010-12-24,1516.05,1516.44,1510.7,1511.58,1511.58,45783400.0,-9.260974254499121e-05
2327,2010-12-23,1518.69,1518.8,1511.2,1514.48,1514.48,121900000.0,0.0019185223408619834
2328,2010-12-22,1505.87,1515.05,1504.9,1515.05,1515.05,105987200.0,0.0003763668057683578
2329,2010-12-21,1498.35,1510.24,1497.81,1505.18,1505.18,139388400.0,-0.006514636480644098
2330,2010-12-20,1499.46,1500.07,1493.22,1495.88,1495.88,119073800.0,-0.006178663017047725
2331,2010-12-17,1497.24,1500.8,1495.2,1499.88,1499.88,139658800.0,0.0026740112843275377
2332,2010-12-16,1507.1,1507.19,1495.39,1497.52,1497.52,131924800.0,-0.0015734592100702383
2333,2010-12-15,1511.47,1514.24,1504.75,1509.1,1509.1,125590400.0,0.00773278487098672
2334,2010-12-14,1510.77,1512.82,1506.03,1510.58,1510.58,135604000.0,0.000980716983632668
2335,2010-12-13,1511.82,1517.15,1506.88,1509.79,1509.79,125248000.0,-0.0005229779290073511
2336,2010-12-10,1520.16,1522.95,1507.28,1507.28,1507.28,277808000.0,-0.001662482861854997
2337,2010-12-09,1512.79,1521.29,1511.01,1521.29,1521.29,209160800.0,0.009294888806326673
2338,2010-12-08,1504.52,1513.24,1504.52,1510.06,1510.06,205107600.0,-0.007381892998705064
2339,2010-12-06,1505.66,1505.66,1497.61,1501.74,1501.74,139622800.0,-0.005509714845767677
2340,2010-12-03,1508.41,1508.41,1497.89,1500.98,1500.98,132888000.0,-0.0005060796143140367
2341,2010-12-02,1492.53,1503.22,1492.53,1503.22,1503.22,150431200.0,0.0014923583258936723
2342,2010-12-01,1482.69,1487.67,1477.57,1485.42,1485.42,153042000.0,-0.011841247455462223
2343,2010-11-30,1494.78,1497.5,1485.23,1485.23,1485.23,149580400.0,-0.0001279099513942228
2344,2010-11-29,1488.57,1495.95,1474.02,1495.95,1495.95,96486800.0,0.007217737320145634
2345,2010-11-26,1498.68,1500.18,1486.69,1492.05,1492.05,94281600.0,-0.0026070390053144488
2346,2010-11-25,1493.21,1498.05,1491.8,1496.49,1496.49,92908600.0,0.002975771589424081
